产品名称,产品代码,预期年化收益率/业绩基准,起购金额,期限
PBZA18F4私银28天私银全权委托人民币理财产品2018年第12期,PBZA18F4,0％或3.5％或7％,30,28
2010年工银财富全权委托系列可转债理财产品CFWT01,CFWT01,1.448300,10,无固定期限
财富稳利189天,CFWL189,4.40%-4.55%,5,189
“全球添益”封闭净值型理财产品2018年第1期QQTY1801,QQTY1801,2.95%,2,373
全球稳健系列开放净值型理财产品QQWJ01（港股通专项产品）,QQWJ01,1.029600,10,无固定期限
全球稳健系列开放净值型理财产品(美元款)QQWJ02,QQWJ02,1.051200,1.6,无固定期限
“安享回报”套利77天人民币理财产品AXTL77,AXTL77,4.35%,10,77
个人尊利60天,ZL60D01,4.20%,50,60
个人增利60天,ZL60D02,4.05%-4.10%,5,60
个人高净值客户挂钩中证500指数2号理财产品（63天投资周期）,ZZPS63,3.00%-7.00%,10,63
PBZP16F4私银154天货架式人民币理财产品2016年第73期,PBZP16F4,4.70%,100,154
PBZP16F3私银126天货架式人民币理财产品2017年第253期,PBZP16F3,4.65%,100,126
PBZP16F2私银98天货架式人民币理财产品2017年第252期,PBZP16F2,4.60%,100,98
PBZP16F1私银63天货架式人民币理财产品2017年第251期,PBZP16F1,4.55%,100,63
PBZP16F8私银364天货架式人民币理财产品2016年第76期,PBZP16F8,4.90%,100,364
中国工商银行私人银行客户专享现金管理产品,PBZO1101,3.00%,50,无固定期限
PBZP16F6私银245天货架式人民币理财产品2016年第75期,PBZP16F6,4.70%,100,245
工银灵通快线,LT0801,3.10%-3.40%,5,无固定期限
PBZP16F5私银182天货架式人民币理财产品2016年第74期,PBZP16F5,4.75%,100,182
保本稳利63天,BBWL63,3.30%,5,63
