产品名称,产品代码,预期年化收益率/业绩基准,起购金额,期限
非凡资产管理翠竹周期开放26W周四普通06款,FSAB260416,0.00%,"50,000.00",182
非凡资产管理翠竹周期开放26W周四普通05款,FSAB260413,0.00%,"50,000.00",182
非凡资产管理翠竹周期开放26W周四高端05款,FSAB260414,0.00%,"200,000.00",182
非凡资产管理翠竹周期开放26W周四高端04款,FSAB260411,0.00%,"200,000.00",182
非凡资产管理翠竹周期开放26W周四尊享04款,FSAB260412,0.00%,"1,000,000.00",182
非凡资产管理翠竹周期开放26W周四普通04款,FSAB260410,0.00%,"50,000.00",182
非凡资产管理翠竹1W理财产品周三普通款,FSAB12025A,4.05%,"50,000.00",7
非凡资产管理翠竹2W理财产品周四普通02款,FSAB12037A,4.20%,"50,000.00",14
非凡资产管理九月增利第351期（懂你的理财）B02款,FSAA18366M,4.93%,"50,000.00",273
非凡资产管理智赢A2号,FSAE15602A,0.00%,"50,000.00",60
非凡资产管理九月增利第351期（懂你的理财）C02款,FSAA18366N,4.95%,"50,000.00",273
稳赢系列挂钩利率结构性存款产品18839号（直销银行专属）,FSCA18839A,4.20%,"50,000.00",94
非凡资产管理翠竹13W理财产品周一尊享04款,FSAB13907C,0.00%,"1,000,000.00",91
非凡资产管理翠竹13W理财产品周一高端04款,FSAB13907B,0.00%,"200,000.00",91
非凡资产管理翠竹13W理财产品周一尊享10款,FSAB13919C,0.00%,"1,000,000.00",91
非凡资产管理翠竹13W理财产品周一普通04款,FSAB13907A,0.00%,"50,000.00",91
非凡资产管理翠竹2W理财产品周四尊享01款,FSAB12033D,0.00%,"1,000,000.00",14
非凡资产管理翠竹13W理财产品周一高端10款,FSAB13919B,0.00%,"200,000.00",91
非凡资产管理翠竹13W理财产品周一普通10款,FSAB13919A,0.00%,"50,000.00",91
聚赢股票-挂钩沪深300指数（看涨）91天定期开放型结构性存款产品07款,FSCB18008A,0.00%,"100,000.00",91
非凡资产管理翠竹2W理财产品周四尊特01款,FSAB12033E,0.00%,"10,000,000.00",14
非凡资产管理翠竹26W理财产品周二高端16款,FSAB26031B,0.00%,"200,000.00",182
非凡资产管理翠竹26W理财产品周二尊享16款,FSAB26031C,0.00%,"1,000,000.00",182
非凡资产管理慧赢添利固收类12W12款,FSAE03012A,0.00%,"50,000.00",84
非凡资产管理翠竹周期开放5W周一高端03款,FSAB050108,0.00%,"200,000.00",35
非凡资产管理翠竹周期开放5W周一尊享03款,FSAB050109,0.00%,"1,000,000.00",35
非凡资产管理翠竹26W理财产品周二普通16款,FSAB26031A,0.00%,"50,000.00",182
非凡资产管理翠竹5W理财产品周一尊享01款,FSAB13001D,0.00%,"1,000,000.00",35
聚赢股票-挂钩沪深300（区间）结构性存款产品18924号（直销银行专属）,FSCA18924A,0.00%,"100,000.00",120
非凡资产管理翠竹5W理财产品周一高端01款,FSAB13001B,0.00%,"200,000.00",35
非凡资产管理翠竹5W理财产品周一普通01款,FSAB13001A,0.00%,"50,000.00",35
非凡资产管理翠竹5W理财产品周四普通01款,FSAB13002A,0.00%,"50,000.00",35
非凡资产管理翠竹周期开放26W周四高端15款,FSAB260444,0.00%,"200,000.00",182
