pfloor,pid,pname,pperiod,prate
100万,A181D4089,慧赢成长18138期,91,5.4
50万,A181A2001,乐赢沪深300挂钩1846期人民币,185,0.0
100万,A181D4093,慧赢成长18142期,92,5.4
5万,A181A2002,乐赢黄金挂钩1847期人民币,171,0.0
100万,A181D4094,慧赢成长18143期,97,5.4
50万,A181A2003,乐赢黄金挂钩1848期人民币,171,0.0
100万,A181D4972,慧赢成长18153期,91,5.4
100万,A181D1990,慧赢成长同行1828期,-1,0.0
50万,A130A0282,信托13001期4号,1,5.35
100万,A181D1273,睿赢成长季开2期,90,0.0
50万,B130A0190,共赢13121期对私,1,5.35
5万,A181A2167,乐赢稳健和信1802,-1,0.0
10000万,A18SD0780,慧赢成长1840期,367,5.35
5万,A181A2738,乐赢沪深300挂钩1849期人民币,185,0.0
100万,A180D9721,慧赢成长1850期,315,5.35
100万,A181D1992,慧赢成长同行1830期,-1,0.0
100万,A180D9725,慧赢成长1854期,371,5.35
50万,A181A2739,乐赢沪深300挂钩1850期人民币,185,0.0
100万,A180D9729,慧赢成长1858期,372,5.35
5万,A181A2524,乐赢稳健和信1804期,-1,0.0
100万,A180D9733,慧赢成长1862期,315,5.35
100万,A181D4101,慧赢成长同行1842期,-1,0.0
100万,A181D0781,慧赢成长1878期,315,5.35
5万,A181A2523,乐赢稳健和信1803期,-1,0.0
100万,A181D0785,慧赢成长1882期,310,5.35
100万,A181D1994,慧赢成长同行1832期,-1,0.0
100万,A181D4973,慧赢成长18154期,91,5.35
3000万,A17SD0436,恒赢C款1709期,90,0.0
100万,A181D4974,慧赢成长18155期,91,5.35
100万,A181D3170,尊享（股权质押）1802期,-1,0.0
100万,A181D4975,慧赢成长18156期,92,5.35
3000万,A18SD1179,恒赢A款1809,90,0.0
100万,A181D6154,慧赢成长18171期,91,5.35
5万,A181A2525,乐赢稳健和信1806,-1,0.0
100万,A180A9741,乐赢成长1811,217,5.32
5万,A181A2528,乐赢稳健和信1807,-1,0.0
100万,A180D9720,慧赢成长1849期,217,5.32
100万,A181D1996,慧赢成长同行1834期,-1,0.0
100万,A180A9737,乐赢成长1809,217,5.32
100万,A181D1997,慧赢成长同行1835期,-1,0.0
100万,A180D9724,慧赢成长1853期,217,5.32
5万,A181A3638,乐赢稳健和信1809,-1,0.0
100万,A180D9728,慧赢成长1857期,218,5.32
100万,A181D1998,慧赢成长同行1836期,-1,0.0
5万,A181A2514,乐赢稳健1847（新资金专属）,105,5.3
100万,A181D1999,慧赢成长同行1837期,-1,0.0
100万,A181D2071,慧赢成长18109期,196,5.3
5万,A181A2526,乐赢稳健和信1808,-1,0.0
100万,A181D2075,慧赢成长18113期,203,5.3
5万,A181A3640,乐赢稳健和信1811,-1,0.0
5万,A181A2505,乐赢稳健1849（新资金专属）,110,5.3
5万,A181A3639,乐赢稳健和信1810,-1,0.0
10000万,A18SD1256,慧赢成长18152期,189,5.3
100万,A181D4098,慧赢成长同行1839期,-1,0.0
100万,A181A4114,乐赢成长1830（新客专属）,115,5.3
100万,A181D4097,慧赢成长同行1838期,-1,0.0
10000万,A18SD1273,慧赢成长18161期,91,5.3
3000万,A18SD1246,恒赢B款1810,90,0.0
10000万,A18SD1290,慧赢成长18162期,94,5.3
5万,A181A3642,乐赢稳健和信1813,-1,0.0
100万,A181A4115,乐赢成长1831期（新客专属）,115,5.3
100万,A181D4100,慧赢成长同行1841期,-1,0.0
100万,A181A4116,乐赢成长1832（新客专属）,105,5.3
5万,A181A3641,乐赢稳健和信1812,-1,0.0
